Id,Designator,Footprint,Quantity,Designation,Supplier and ref,Value,Part Number,Mouser Part Number,Link,Comments,Comments,Checked
34,J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,,"Micro SD Card Connector, Push-Pull",DM3AT-SF-PEJM5,798-DM3AT-SF-PEJM5,https://www.mouser.com/ProductDetail/Hirose-Connector/DM3AT-SF-PEJM5?qs=LZSZKJVF%252B2WTDKp%252BR7IYAQ%3D%3D,https://www.mouser.com/datasheet/3/731/1/DM3AT_SF_PEJM5_CL0609_0031_0_00_2DDrawing_0000947170.pdf,,Yes
26,"J4,J9,J5,J8",Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal,4,NCJ6FA-H-0,,"Combo XLR/6.35mm Jack, Horizontal PCB",NCJ6FA-H-0,568-NCJ6FA-H-0,https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=aEaV1LakhLaCrLXco%252BtEjw%3D%3D,https://www.neutrik.com/media/8444/download/ncj6fah-0-2.pdf?v=1,,Yes
11,J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,,1x4 Pin Header 2.54mm,61300411121,710-61300411121,https://www.mouser.com/ProductDetail/Wurth-Elektronik/61300411121?qs=PhR8RmCirEYQcLLqXD8rAA%3D%3D,https://www.we-online.com/components/products/datasheet/61300411121.pdf,,Yes
7,"L2,L1",L_0603_1608Metric,2,BLM18PG121SN1,,"120 ohm @ 100MHz Ferrite Bead, 0603",BLM18PG121SN1D,81-BLM18PG121SN1D,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM18PG121SN1D?qs=tY8e8KZalarVxhnmnUYZ1A%3D%3D,https://www.mouser.com/datasheet/3/76/1/ENFA0003.pdf,,Yes
41,L3,L_Bourns_SRN6045TA,1,10uH,,"10uH Semi-Shielded Inductor, 6x6x4.5mm",SRN6045TA-100M,652-SRN6045TA-100M,https://www.mouser.com/ProductDetail/Bourns/SRN6045TA-100M?qs=Vt59ZOdFuWZBf9gWI0WHQg%3D%3D,https://www.mouser.com/datasheet/3/40/1/srn6045ta.pdf,,Yes
14,Q1,SOT-23,1,SI2301CDS-T1-GE3,,"P-ch MOSFET 2.3A 20V, SOT-23",SI2301CDS-T1-GE3,781-SI2301CDS-T1-GE3,https://www.mouser.com/ProductDetail/Vishay-Semiconductors/SI2301CDS-T1-GE3?qs=IRuQNBqMOcnWEzfGi6KYYw%3D%3D,https://www.vishay.com/docs/68741/si2301cd.pdf,,Yes
43,R1,R_0805_2012Metric,1,10k,,10k 1% 0805,RC0805FR-0710KL,603-RC0805FR-0710KL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0710KL?qs=7bY8808IzHq6vrU3BeiiYw%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
20,"R12,R17,R18",R_0805_2012Metric,3,33R,,33 ohm 1% 0805,RC0805FR-0733RL,603-RC0805FR-0733RL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0733RL?qs=g6xwsc4j%252B%2Fq7KbipsIEOLQ%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
36,R13,R_0805_2012Metric,1,10R,,10 ohm 1% 0805,RC0805FR-0710RL,603-RC0805FR-0710RL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0710RL?qs=8Y8p%252BasKcI5T5bn0nqNRsw%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
37,"R15,R14",R_0805_2012Metric,2,220R,,220 ohm 1% 0805,RC0805FR-07220RL,603-RC0805FR-07220RL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07220RL?qs=KCkj9j0IqmXa4o%252BHKR6RGw%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
13,R16,R_0805_2012Metric,1,270R,,270 ohm 1% 0805,RC0805FR-07270RL,603-RC0805FR-07270RL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07270RL?qs=fRxXYNj8ftH0PxeHhRcbcA%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
23,R2,R_0805_2012Metric,1,100k,,100k 1% 0805,RC0805FR-07100KL,603-RC0805FR-07100KL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07100KL?qs=8Y8p%252BasKcI7rEWn6FcVdAA%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
6,"R20,R19",R_0603_1608Metric,2,1.2k,,1.2k 1% 0603,RC0603FR-071K2L,603-RC0603FR-071K2L,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-071K2L?qs=VU8sRB4EgwBLEnKW6KYjqA%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
21,"R21,R23,R22,R24",R_0603_1608Metric,4,100k,,100k 1% 0603,RC0603FR-07100KL,603-RC0603FR-07100KL,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07100KL?qs=e1ok2LiJcmaihem8Va5%2Fsw%3D%3D,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,1%,Yes
24,"R25,R26",R_0603_1608Metric,2,120R,,120 ohm 1% 0603,RC0603FR-07120RL,603-RC0603FR-07120RL,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07120RL?qs=uM1JSSdPjOCKJQFXEGGb5w%3D%3D,https://www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf,1%,Yes
40,R3,R_0805_2012Metric,1,13.7k,,13.7k 1% 0805,RC0805FR-0713K7L,603-RC0805FR-0713K7L,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0713K7L?qs=fRxXYNj8ftG7GeT1zL0GIw%3D%3D,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,1%,Yes
39,R4,R_0805_2012Metric,1,49.9R,,49.9 ohm 1% 0805,RC0805FR-0749R9L,603-RC0805FR-0749R9L,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0749R9L?qs=VLOqbHBAO5fOTWOXSZvQ2A%3D%3D,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,1%,Yes
31,R5,R_0805_2012Metric,1,100k 1%,,100k 1% 0805,RC0805FR-07100KL,603-RC0805FR-07100KL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-07100KL?qs=8Y8p%252BasKcI7rEWn6FcVdAA%3D%3D,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,1%,Yes
29,R6,R_0805_2012Metric,1,13.3k 1%,,13.3k 1% 0805,RC0805FR-0713K3L,603-RC0805FR-0713K3L,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0713K3L?qs=7bY8808IzHqrbhVfypq6iw%3D%3D,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,1%,Yes
2,"R8,R10,R7,R11,R9",R_0805_2012Metric,5,47K,,47k 1% 0805,RC0805FR-0747KL,603-RC0805FR-0747KL,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-0747KL?qs=sfaR5EV1ye7DERH7OnC2Gg%3D%3D,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf,1%,Yes
28,S1,LC2255EESP,1,LC2255EESP,,"DPDT On-On Pushbutton, Right Angle",LC2255EESP,612-LC2255EESP,https://www.mouser.com/ProductDetail/E-Switch/LC2255EESP?qs=f57gQzlyLirD2Do5ybJt6Q%3D%3D,https://www.mouser.com/datasheet/3/315/1/LC.pdf,,Yes
33,U1,Converter_DCDC_TRACO_TMA-05xxD_12xxD_Dual_THT,1,TMA-1212D,,"1W Isolated DC-DC, 12V to +/-12V, SIP-7",TMA 1212D,495-TMA-1212D,https://www.mouser.com/ProductDetail/TRACO-Power/TMA-1212D?qs=ckJk83FOD0VpctDRQrVwSg%3D%3D,https://www.tracopower.com/tma-datasheet,,Yes
10,U2,SOT-23-6,1,TPS54302,,"3A 4.5-28V Step-Down Converter, SOT-23-6",TPS54302DDCR,595-TPS54302DDCR,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS54302DDCR?qs=zEmsApcVOkUXM7UP0GSO2g%3D%3D,https://www.ti.com/lit/ds/symlink/tps54302.pdf?ts=1775287815118&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS54302,,Yes
25,U3,DAISY_SEED_SMT,1,Daisy_Seed,,Electrosmith Daisy Seed DSP Module,Daisy Seed,(not on Mouser - buy from electro-smith.com),,https://static1.squarespace.com/static/58d03fdc1b10e3bf442567b8/t/6227e6236f02fb68d1577146/1646781988478/Daisy_Seed_datasheet_v1.0.3.pdf,,Yes
35,U4,SO-6_4.4x3.6mm_P1.27mm,1,H11L1SM,,"Schmitt Trigger Optocoupler, SO-6",H11L1SM,512-H11L1SM,https://www.mouser.com/ProductDetail/onsemi/H11L1SM?qs=9h%252BT%2FFFCxR8rbqOmNiGmNQ%3D%3D,https://www.onsemi.com/pdf/datasheet/h11l3m-d.pdf,,Yes
18,"U6,U5",SOIC-8_3.9x4.9mm_P1.27mm,2,THAT1246,,"Balanced Line Receiver, Unity Gain, SOIC-8",1246S08-U,887-1246S08-U,https://www.mouser.com/ProductDetail/THAT/1246S08-U?qs=9Udfh7QmL4sXNHyZVY%252BVng%3D%3D,https://www.mouser.com/datasheet/3/4/1/THAT_1240_Series_Datasheet.pdf,,Yes
15,"U8,U7",SOIC-8_3.9x4.9mm_P1.27mm,2,THAT1646,,"Balanced Line Driver, SOIC-8",1646S08-U,887-1646S08-U,https://www.mouser.com/ProductDetail/THAT/1646S08-U?qs=7hHJOukDioSBWO8%252B4y5TTQ%3D%3D,https://www.mouser.com/datasheet/3/4/1/THAT_1606-1646_Datasheet.pdf,,Yes
